Fon Kodu	Tarih	Attribute	Value
AKU	2024-02-04	Fonun Risk Değeri	6
AKU	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AKU	2024-02-04	Fonun Faiz İçeriği	
AKU	2024-02-04	Fon Satış Valörü	2.0
AKU	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AKU	2024-02-04	Çıkış Komisyonu	
AKU	2024-02-04	Kodu	AKU
AKU	2024-02-04	Giriş Komisyonu	
AKU	2024-02-04	Min. Satış İşlem Miktarı	1
AKU	2024-02-04	Fon Alış Valörü	1.0
AKU	2024-02-04	Min. Alış İşlem Miktarı	1
AKU	2024-02-04	ISIN Kodu	TRMAKUWWWWW5
AKU	2024-02-04	Son İşlem Saati	17:45
AKU	2024-02-04	İşlem Başlangıç Saati	09:00
ALC	2024-02-04	Son İşlem Saati	17:45
ALC	2024-02-04	İşlem Başlangıç Saati	09:00
ALC	2024-02-04	Fonun Faiz İçeriği	
ALC	2024-02-04	Fon Satış Valörü	2.0
ALC	2024-02-04	ISIN Kodu	TRYAKBK00946
ALC	2024-02-04	Giriş Komisyonu	
ALC	2024-02-04	Çıkış Komisyonu	
ALC	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
ALC	2024-02-04	Kodu	ALC
ALC	2024-02-04	Min. Satış İşlem Miktarı	1
ALC	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
ALC	2024-02-04	Fonun Risk Değeri	6
ALC	2024-02-04	Fon Alış Valörü	1.0
ALC	2024-02-04	Min. Alış İşlem Miktarı	1
ALC	2024-02-04	Platform İşlem Durumu	Fon Alımına Kapalı, Fon Bozumuna Açık
AN1	2024-02-04	Son İşlem Saati	17:00
AN1	2024-02-04	Fon Alış Valörü	1.0
AN1	2024-02-04	Max. Satış İşlem Miktarı	
AN1	2024-02-04	Min. Alış İşlem Miktarı	1
AN1	2024-02-04	Fonun Faiz İçeriği	
AN1	2024-02-04	Min. Satış İşlem Miktarı	1
AN1	2024-02-04	Fonun Risk Değeri	
AN1	2024-02-04	ISIN Kodu	TRMAN1WWWWW4
AN1	2024-02-04	Çıkış Komisyonu	
AN1	2024-02-04	Giriş Komisyonu	
AN1	2024-02-04	Kodu	AN1
AN1	2024-02-04	Fon Satış Valörü	2.0
AN1	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AN1	2024-02-04	İşlem Başlangıç Saati	09:00
AN1	2024-02-04	Max. Alış İşlem Miktarı	
ANZ	2024-02-04	Kodu	ANZ
ANZ	2024-02-04	Çıkış Komisyonu	
ANZ	2024-02-04	Max. Alış İşlem Miktarı	
ANZ	2024-02-04	Max. Satış İşlem Miktarı	
ANZ	2024-02-04	Fon Alış Valörü	1.0
ANZ	2024-02-04	Giriş Komisyonu	
ANZ	2024-02-04	İşlem Başlangıç Saati	09:00
